epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,447.339,1.43017,1.70124,0.30679,2.4424,2.00786,0.63888,0.2,0.15155,0.04935,0.66018,0.24444,0.18555,0.08692,2.20433,2.07,0.41415,3.00784,2.51731,0.00154598,0.00154598,0.00154598
24,466.105,1.42655,1.7177,0.31127,2.4547,1.99667,0.62212,0.22222,0.12416,0.0447,0.65487,0.28333,0.16392,0.08465,2.19644,1.84662,0.4512,3.04116,2.5125,0.00154047,0.00154047,0.00154047
25,484.845,1.38657,1.60599,0.31406,2.38996,1.98457,0.65273,0.24433,0.13279,0.04613,0.67567,0.28888,0.16366,0.07864,2.08373,1.78909,0.4457,2.98775,2.51185,0.00153497,0.00153497,0.00153497
26,503.756,1.39576,1.70204,0.30258,2.40129,1.97743,0.65609,0.25468,0.15072,0.04605,0.66774,0.28333,0.16375,0.07539,2.13731,2.00358,0.6845,2.99572,2.49525,0.00152947,0.00152947,0.00152947
27,522.684,1.39184,1.66383,0.31639,2.42137,1.97614,0.63893,0.25,0.12861,0.04225,0.66919,0.30556,0.17309,0.08126,2.19175,1.97843,0.50103,2.99088,2.51657,0.00152397,0.00152397,0.00152397
28,541.487,1.36854,1.59073,0.30011,2.38515,1.96137,0.65498,0.18889,0.13426,0.04091,0.66658,0.26111,0.18896,0.07931,2.25127,1.90579,0.3849,3.00064,2.59104,0.00151847,0.00151847,0.00151847
29,560.393,1.41001,1.66685,0.30457,2.41509,1.98301,0.64774,0.26667,0.1549,0.04695,0.66736,0.30556,0.18533,0.08277,2.21542,1.90573,0.48574,2.97629,2.53089,0.00151297,0.00151297,0.00151297
30,579.288,1.37419,1.60379,0.29308,2.38661,1.95086,0.64414,0.26667,0.1322,0.04506,0.68253,0.31623,0.17651,0.08396,2.2366,2.09232,0.50005,3.03589,2.54196,0.00150747,0.00150747,0.00150747
31,598.112,1.3243,1.54968,0.28798,2.35886,1.92133,0.64522,0.28425,0.16263,0.05275,0.67178,0.33729,0.20139,0.0926,2.08782,1.89048,0.37382,2.95856,2.40173,0.00150197,0.00150197,0.00150197
32,616.917,1.37656,1.56414,0.29388,2.3722,1.96722,0.62369,0.25,0.15062,0.05256,0.65379,0.30556,0.1987,0.09203,2.17708,1.80502,0.33896,2.96422,2.44388,0.00149647,0.00149647,0.00149647
33,635.682,1.36548,1.55809,0.29076,2.3828,1.94541,0.62054,0.26111,0.14908,0.04873,0.63849,0.3,0.16678,0.08158,2.21662,1.87964,0.48945,3.08462,2.56239,0.00149096,0.00149096,0.00149096
34,654.398,1.35213,1.61104,0.28557,2.33473,1.94007,0.63011,0.26578,0.13831,0.04672,0.64839,0.31667,0.16682,0.08149,2.113,1.82442,0.45476,3.05992,2.5115,0.00148546,0.00148546,0.00148546
35,673.385,1.35016,1.5929,0.29262,2.32838,1.9521,0.63994,0.26667,0.15102,0.05105,0.66868,0.32222,0.18662,0.08775,2.16509,1.91983,0.51784,3.17185,2.47879,0.00147996,0.00147996,0.00147996
36,692.348,1.35843,1.60066,0.28733,2.35944,1.94966,0.66,0.26667,0.15675,0.04741,0.6733,0.30556,0.17737,0.08359,2.12254,1.82006,0.46976,3.04996,2.45921,0.00147446,0.00147446,0.00147446
37,711.144,1.36965,1.55543,0.2869,2.33426,1.94805,0.63756,0.27778,0.1759,0.05577,0.67142,0.32222,0.20607,0.10223,2.13893,1.79476,0.43103,3.00693,2.50421,0.00146896,0.00146896,0.00146896
38,730.113,1.34348,1.58599,0.28306,2.31619,1.91862,0.64527,0.27074,0.15555,0.05639,0.66378,0.31121,0.17464,0.09127,2.10201,1.76949,0.55838,3.0421,2.48238,0.00146346,0.00146346,0.00146346
39,748.817,1.27884,1.50367,0.2798,2.24759,1.88007,0.64219,0.26667,0.14562,0.04837,0.65278,0.28889,0.16685,0.08267,1.91826,1.55275,0.3825,3.026,2.33713,0.00145796,0.00145796,0.00145796
40,767.707,1.32583,1.48047,0.27804,2.28146,1.92284,0.63876,0.3,0.16759,0.05354,0.64328,0.32357,0.18384,0.09288,2.30688,1.99975,0.50174,3.12416,2.58101,0.00145246,0.00145246,0.00145246
41,786.487,1.33282,1.48841,0.28134,2.30552,1.92445,0.66027,0.22222,0.15889,0.05311,0.68466,0.25703,0.19098,0.09585,1.92426,1.6336,0.37186,2.95102,2.32923,0.00144696,0.00144696,0.00144696
42,805.44,1.315,1.50746,0.27355,2.25352,1.92106,0.64624,0.26111,0.17009,0.06714,0.67043,0.33889,0.20154,0.10972,2.05194,1.60793,0.479,2.98171,2.51128,0.00144145,0.00144145,0.00144145
43,824.383,1.3068,1.49287,0.28043,2.26004,1.89693,0.63942,0.27067,0.14483,0.04938,0.66804,0.32623,0.17127,0.08603,1.98608,1.72427,0.45826,3.0325,2.41532,0.00143595,0.00143595,0.00143595
44,843.306,1.34161,1.54572,0.27746,2.3637,1.91751,0.64038,0.2494,0.13019,0.04715,0.64921,0.27778,0.1564,0.07422,1.9666,1.63607,0.7589,3.19407,2.42552,0.00143045,0.00143045,0.00143045
45,862.185,1.3323,1.51059,0.29075,2.27474,1.91279,0.64527,0.26165,0.16298,0.0633,0.66042,0.30556,0.18325,0.10284,2.00407,1.77915,0.69041,3.111,2.40149,0.00142495,0.00142495,0.00142495
46,880.947,1.28508,1.4756,0.26968,2.25012,1.88865,0.6829,0.25556,0.17629,0.05763,0.7125,0.30556,0.21715,0.10569,2.03382,1.62467,0.41377,3.0729,2.3955,0.00141945,0.00141945,0.00141945
47,899.872,1.28899,1.52741,0.27186,2.24689,1.8602,0.65824,0.3,0.1632,0.05183,0.69627,0.36111,0.22374,0.10383,2.06936,1.71866,0.43686,2.84503,2.43197,0.00141395,0.00141395,0.00141395
48,922.452,1.3196,1.51433,0.26475,2.21721,1.89219,0.63117,0.3,0.14241,0.05093,0.64803,0.34444,0.17372,0.09454,1.93388,1.61459,0.3548,2.8647,2.31874,0.00140845,0.00140845,0.00140845
49,941.235,1.33044,1.48432,0.26428,2.19152,1.90459,0.63213,0.28333,0.13225,0.04476,0.6508,0.32222,0.15713,0.07875,1.97543,1.58218,0.51231,2.96475,2.38638,0.00140295,0.00140295,0.00140295
50,960.121,1.30108,1.49719,0.27476,2.21744,1.8818,0.66366,0.23889,0.15896,0.06368,0.67971,0.33889,0.2023,0.10545,1.9386,1.61922,0.58447,2.92308,2.38961,0.00139745,0.00139745,0.00139745
51,979.042,1.2693,1.47309,0.26182,2.21472,1.87377,0.66384,0.27778,0.15363,0.05854,0.68316,0.34444,0.19299,0.102,1.93496,1.49601,0.47362,2.96116,2.36234,0.00139195,0.00139195,0.00139195
52,997.916,1.24915,1.42129,0.25886,2.15391,1.85649,0.67924,0.20181,0.18741,0.063,0.69524,0.26339,0.22167,0.10845,1.95348,1.51164,0.49855,2.95665,2.40927,0.00138644,0.00138644,0.00138644
53,1016.54,1.31407,1.54666,0.26308,2.25989,1.89605,0.6641,0.23333,0.16817,0.07164,0.67236,0.26111,0.20079,0.11562,1.93717,1.62125,0.59762,2.93275,2.46018,0.00138094,0.00138094,0.00138094
54,1035.56,1.26125,1.47935,0.25607,2.21263,1.86387,0.25474,0.325,0.17367,0.06264,0.18197,0.33975,0.19668,0.10147,1.94015,1.60457,0.48176,2.96404,2.31051,0.00137544,0.00137544,0.00137544
55,1054.48,1.26897,1.42556,0.25374,2.19709,1.86533,0.64876,0.27778,0.15663,0.05448,0.67997,0.35,0.1887,0.09566,1.98336,1.53858,0.53262,2.90339,2.40028,0.00136994,0.00136994,0.00136994
56,1073.37,1.26645,1.43447,0.25596,2.14194,1.85468,0.64131,0.30423,0.16519,0.06376,0.64905,0.3209,0.18934,0.09986,1.95362,1.69648,0.41335,3.02785,2.42483,0.00136444,0.00136444,0.00136444
57,1092.12,1.28693,1.46954,0.25502,2.21093,1.8736,0.66856,0.26111,0.18483,0.06906,0.67041,0.3,0.21165,0.11442,2.05245,1.63064,0.39506,2.93896,2.42242,0.00135894,0.00135894,0.00135894
58,1111.05,1.27995,1.48336,0.25473,2.1717,1.86245,0.66405,0.26667,0.20479,0.08218,0.68518,0.32351,0.23716,0.13139,1.9574,1.56863,0.55917,2.82259,2.40882,0.00135344,0.00135344,0.00135344
59,1130.02,1.2722,1.47842,0.2511,2.17346,1.8571,0.68364,0.22251,0.18896,0.07468,0.68374,0.28081,0.22837,0.1223,1.94577,1.56482,0.5583,2.80135,2.37473,0.00134794,0.00134794,0.00134794
60,1148.72,1.25785,1.41682,0.25516,2.14031,1.86664,0.70078,0.22222,0.17323,0.05678,0.71409,0.24444,0.21183,0.10539,2.03067,1.67759,0.35038,2.80847,2.45253,0.00134244,0.00134244,0.00134244
61,1167.83,1.24809,1.41775,0.24917,2.1718,1.83637,0.69293,0.27222,0.19999,0.08491,0.70676,0.29444,0.23554,0.13511,1.86444,1.59624,0.49412,2.87745,2.29981,0.00133693,0.00133693,0.00133693
62,1186.65,1.24941,1.41244,0.24799,2.12807,1.84135,0.68156,0.26667,0.19204,0.07773,0.68979,0.28889,0.22528,0.12654,1.97966,1.6136,0.43455,2.80017,2.43384,0.00133143,0.00133143,0.00133143
63,1205.35,1.25161,1.4138,0.24678,2.10959,1.84713,0.68181,0.27778,0.19745,0.07119,0.69937,0.33333,0.23833,0.12251,2.04075,1.6765,0.58419,2.85438,2.49607,0.00132593,0.00132593,0.00132593
64,1224.07,1.25067,1.41891,0.25493,2.10812,1.8432,0.69087,0.28813,0.20016,0.0739,0.71526,0.34444,0.23263,0.1249,2.01277,1.61816,0.53929,2.9381,2.46432,0.00132043,0.00132043,0.00132043
65,1243.02,1.29611,1.45604,0.24652,2.1619,1.89393,0.69763,0.24444,0.20866,0.07705,0.71214,0.33165,0.25198,0.14015,1.98903,1.56904,0.54916,2.83866,2.41595,0.00131493,0.00131493,0.00131493
66,1261.88,1.25479,1.37278,0.2549,2.11026,1.83679,0.68344,0.27778,0.18534,0.07501,0.69475,0.29775,0.20257,0.12075,1.90377,1.55547,0.64193,2.88364,2.35913,0.00130943,0.00130943,0.00130943
67,1280.8,1.28715,1.46483,0.25498,2.14492,1.87242,0.70777,0.28889,0.22825,0.09701,0.71032,0.36111,0.26351,0.15123,2.01795,1.67428,0.45649,2.71327,2.46022,0.00130393,0.00130393,0.00130393
68,1299.83,1.24904,1.39026,0.23532,2.16102,1.84782,0.14199,0.30556,0.20944,0.08606,0.16853,0.36111,0.2409,0.14276,1.98712,1.54653,0.46697,2.71819,2.40304,0.00129843,0.00129843,0.00129843
69,1318.73,1.22542,1.35025,0.23944,2.09283,1.83468,0.70799,0.27778,0.22501,0.083,0.72388,0.31984,0.2702,0.14645,2.03931,1.59134,0.3741,2.79524,2.41926,0.00129293,0.00129293,0.00129293
70,1337.7,1.26278,1.41221,0.24479,2.14211,1.84291,0.72095,0.28333,0.2009,0.07668,0.7251,0.3,0.24875,0.13415,1.91477,1.62095,0.42316,2.76786,2.29004,0.00128742,0.00128742,0.00128742
71,1356.49,1.25372,1.34348,0.23302,2.09836,1.84388,0.6929,0.28333,0.22726,0.0919,0.70802,0.30556,0.26148,0.14575,1.87794,1.64572,0.46539,2.83749,2.27056,0.00128192,0.00128192,0.00128192
72,1375.39,1.25282,1.39415,0.24297,2.0797,1.8472,0.15824,0.30096,0.22649,0.09349,0.7119,0.38333,0.27693,0.15394,1.96299,1.60072,0.46277,2.87662,2.39128,0.00127642,0.00127642,0.00127642
73,1394.4,1.27145,1.40978,0.24698,2.07683,1.86109,0.26625,0.30833,0.20319,0.07199,0.3193,0.35833,0.26193,0.13569,2.02083,1.64872,0.41379,2.79886,2.45283,0.00127092,0.00127092,0.00127092
74,1413.38,1.26445,1.40679,0.24491,2.1148,1.84524,0.68569,0.25929,0.1879,0.06619,0.15136,0.32778,0.21537,0.1124,1.97668,1.67194,0.78701,3.1045,2.54329,0.00126542,0.00126542,0.00126542
75,1432.23,1.20177,1.3275,0.23547,2.03856,1.79941,0.71757,0.23333,0.20362,0.08155,0.72014,0.27094,0.22929,0.13457,1.97938,1.66511,0.453,2.87557,2.44702,0.00125992,0.00125992,0.00125992
76,1450.79,1.23954,1.40045,0.24187,2.05104,1.82997,0.66828,0.27222,0.16948,0.06698,0.68991,0.29444,0.19093,0.10664,1.96535,1.73763,0.60317,3.18299,2.58344,0.00125442,0.00125442,0.00125442
77,1469.71,1.22759,1.33084,0.22303,2.04772,1.82173,0.71278,0.28889,0.19517,0.07195,0.73324,0.31667,0.22922,0.12767,1.89768,1.5255,0.50898,2.79208,2.44646,0.00124892,0.00124892,0.00124892
78,1488.26,1.19361,1.2922,0.23521,2.0252,1.81006,0.71231,0.2952,0.22326,0.08149,0.70481,0.37222,0.25036,0.14286,1.8964,1.50223,0.36968,2.79212,2.3475,0.00124342,0.00124342,0.00124342
79,1507.13,1.22019,1.36879,0.2288,2.02033,1.80925,0.25667,0.37778,0.25926,0.10183,0.28812,0.41389,0.30115,0.17007,1.87409,1.47826,0.55405,2.83768,2.33898,0.00123791,0.00123791,0.00123791
80,1526.18,1.24759,1.38606,0.24455,2.01442,1.87424,0.77518,0.25,0.25333,0.09369,0.28744,0.38889,0.2921,0.16283,1.89335,1.47798,0.51451,2.87559,2.33322,0.00123241,0.00123241,0.00123241
81,1545.15,1.21221,1.35002,0.23592,2.05387,1.8198,0.73713,0.28567,0.21807,0.08154,0.73985,0.33333,0.26019,0.13975,1.91185,1.51748,0.50902,2.85317,2.30092,0.00122691,0.00122691,0.00122691
82,1563.79,1.20002,1.2898,0.22031,2.02362,1.79653,0.32287,0.32783,0.22885,0.08994,0.37346,0.375,0.26004,0.15622,1.91587,1.57498,0.58493,2.78327,2.38918,0.00122141,0.00122141,0.00122141
83,1582.35,1.21118,1.31627,0.22357,2.00948,1.80585,0.28953,0.29167,0.25117,0.08442,0.28216,0.31944,0.28078,0.16388,1.98549,1.4983,0.38026,2.7573,2.40371,0.00121591,0.00121591,0.00121591
84,1601,1.20851,1.32154,0.23076,2.00561,1.81235,0.25446,0.32222,0.19449,0.07486,0.31657,0.36944,0.24804,0.1321,1.92975,1.54788,0.55123,2.91328,2.44618,0.00121041,0.00121041,0.00121041
85,1619.98,1.18273,1.35749,0.22475,1.94613,1.78371,0.25298,0.34228,0.26075,0.099,0.30961,0.38611,0.29999,0.17454,1.97504,1.58462,0.44114,2.68742,2.38885,0.00120491,0.00120491,0.00120491
86,1638.98,1.18624,1.30027,0.22592,1.94489,1.79069,0.23664,0.31411,0.2488,0.08924,0.28776,0.375,0.28648,0.15376,2.01034,1.78912,0.41852,2.71087,2.46816,0.00119941,0.00119941,0.00119941
87,1657.92,1.22179,1.31457,0.22089,2.00735,1.79804,0.80232,0.22778,0.25797,0.09458,0.34865,0.39722,0.31212,0.1743,1.97407,1.62937,0.47429,2.84866,2.4499,0.00119391,0.00119391,0.00119391
88,1676.81,1.15153,1.29302,0.22144,1.93166,1.75907,0.36298,0.31111,0.26761,0.10538,0.39436,0.35677,0.30855,0.18255,1.97974,1.59045,0.51417,2.66586,2.4286,0.0011884,0.0011884,0.0011884
89,1696.23,1.1779,1.299,0.21906,1.9102,1.78211,0.29084,0.33611,0.27409,0.10405,0.32665,0.35556,0.30528,0.17601,1.95493,1.5264,0.44848,2.68875,2.41899,0.0011829,0.0011829,0.0011829
90,1714.97,1.1853,1.2993,0.22339,1.93767,1.78388,0.7568,0.28889,0.26489,0.09853,0.74418,0.34444,0.29951,0.17147,1.91782,1.52814,0.44758,2.80261,2.43241,0.0011774,0.0011774,0.0011774
91,1733.88,1.14136,1.24952,0.22199,1.89545,1.77183,0.34404,0.41111,0.3324,0.11897,0.37548,0.43333,0.37853,0.21435,1.95476,1.50085,0.45506,2.66547,2.50152,0.0011719,0.0011719,0.0011719
92,1752.94,1.18151,1.27413,0.22037,1.91078,1.77933,0.25305,0.35556,0.25881,0.10107,0.32629,0.4,0.31164,0.17277,1.98988,1.65815,0.47857,2.77963,2.47902,0.0011664,0.0011664,0.0011664
93,1771.89,1.17529,1.29954,0.22407,1.89676,1.76881,0.27656,0.36944,0.28992,0.11054,0.35329,0.41944,0.34307,0.18926,1.95487,1.57915,0.38742,2.60022,2.40388,0.0011609,0.0011609,0.0011609
94,1790.84,1.16662,1.30747,0.23053,1.90912,1.77597,0.29892,0.37712,0.27816,0.10706,0.34749,0.40789,0.33372,0.18403,1.96569,1.62227,0.42756,2.73313,2.41975,0.0011554,0.0011554,0.0011554
95,1809.38,1.17111,1.27701,0.22688,1.94916,1.76113,0.46605,0.36944,0.28422,0.10688,0.52939,0.37705,0.34187,0.18332,2.02944,1.67828,0.54822,2.67134,2.49293,0.0011499,0.0011499,0.0011499
96,1828.28,1.17519,1.31387,0.21822,1.89087,1.76176,0.33246,0.31471,0.2826,0.10957,0.3258,0.34383,0.30609,0.19293,1.98286,1.53781,0.37695,2.70651,2.3552,0.0011444,0.0011444,0.0011444
97,1846.94,1.19998,1.28625,0.20511,1.9037,1.78752,0.36927,0.31111,0.29569,0.11579,0.43382,0.34722,0.35491,0.20319,1.87632,1.48062,0.50793,2.63761,2.35691,0.00113889,0.00113889,0.00113889
98,1865.8,1.1777,1.29175,0.21378,1.89054,1.77733,0.29579,0.38056,0.31487,0.12149,0.33057,0.44207,0.37911,0.22055,1.96534,1.53033,0.5509,2.65582,2.45449,0.00113339,0.00113339,0.00113339
99,1884.77,1.18826,1.30334,0.21426,1.8814,1.78019,0.30836,0.3583,0.26049,0.0951,0.34773,0.41003,0.30925,0.16848,2.136,1.79604,0.56877,3.02554,2.62093,0.00112789,0.00112789,0.00112789
100,1903.48,1.18635,1.30183,0.2175,1.88206,1.78593,0.3593,0.40833,0.31769,0.12921,0.41981,0.45556,0.36366,0.22289,1.95762,1.56976,0.42284,2.63189,2.44932,0.00112239,0.00112239,0.00112239
101,1922.49,1.18327,1.25103,0.21213,1.87801,1.77676,0.4099,0.35326,0.31643,0.11577,0.47905,0.44444,0.37844,0.21594,1.94472,1.51243,0.63247,2.55803,2.43662,0.00111689,0.00111689,0.00111689
102,1941.12,1.14916,1.23157,0.21301,1.87845,1.73969,0.33757,0.36944,0.32222,0.12068,0.39121,0.4163,0.36882,0.21889,2.00511,1.6191,0.35203,2.59306,2.44617,0.00111139,0.00111139,0.00111139
103,1960.03,1.17058,1.2551,0.2128,1.84732,1.76759,0.29521,0.36944,0.29096,0.10781,0.39853,0.42666,0.35133,0.19455,1.92794,1.64566,0.55479,2.74298,2.4864,0.00110589,0.00110589,0.00110589
104,1978.99,1.15566,1.21059,0.20973,1.80778,1.74542,0.44712,0.36959,0.3056,0.12209,0.61357,0.43764,0.39096,0.20664,1.91803,1.53991,0.58567,2.81406,2.43077,0.00110039,0.00110039,0.00110039
105,1997.69,1.16519,1.23037,0.21454,1.84122,1.75595,0.32134,0.35547,0.28438,0.11068,0.36145,0.44167,0.34386,0.1972,1.92256,1.51213,0.55476,2.70944,2.48088,0.00109489,0.00109489,0.00109489
106,2016.41,1.18072,1.27807,0.21355,1.80935,1.76492,0.36048,0.38641,0.29254,0.11781,0.37753,0.41643,0.32036,0.19099,1.95152,1.65573,0.57984,2.86323,2.50753,0.00108938,0.00108938,0.00108938
107,2035.36,1.1612,1.2298,0.21313,1.79353,1.75474,0.39905,0.42222,0.34674,0.13486,0.46748,0.44444,0.39501,0.23168,1.96863,1.61208,0.48772,2.62237,2.45733,0.00108388,0.00108388,0.00108388
108,2054.34,1.14897,1.24747,0.21014,1.77825,1.76257,0.5399,0.3625,0.34884,0.13206,0.64831,0.37778,0.40002,0.23087,1.95205,1.52927,0.44599,2.53979,2.41964,0.00107838,0.00107838,0.00107838
109,2072.98,1.1199,1.15965,0.21433,1.78321,1.74074,0.43967,0.33611,0.29642,0.11839,0.50586,0.37222,0.36093,0.20498,1.96039,1.50406,0.32139,2.67003,2.35237,0.00107288,0.00107288,0.00107288
110,2095.87,1.13502,1.23044,0.20427,1.78252,1.74454,0.44613,0.31667,0.31939,0.12509,0.48493,0.34722,0.37608,0.22641,1.94845,1.53124,0.37323,2.56292,2.39402,0.00106738,0.00106738,0.00106738
111,2114.94,1.17628,1.28547,0.21217,1.82143,1.76396,0.44824,0.3726,0.34462,0.12257,0.38599,0.40833,0.38759,0.24008,2.02332,1.62157,0.43152,2.52585,2.46852,0.00106188,0.00106188,0.00106188
112,2134.47,1.15555,1.21892,0.20212,1.77366,1.75268,0.44214,0.36667,0.32693,0.13081,0.39169,0.43706,0.36696,0.22186,1.88025,1.58732,0.66684,2.82768,2.39265,0.00105638,0.00105638,0.00105638
113,2153.4,1.1286,1.20061,0.20438,1.77871,1.7335,0.3604,0.41111,0.32305,0.14409,0.36254,0.43889,0.35911,0.22437,1.9158,1.61758,0.59299,2.66529,2.40805,0.00105088,0.00105088,0.00105088
114,2171.98,1.12585,1.20672,0.19652,1.73984,1.73074,0.44494,0.46358,0.40949,0.16561,0.48065,0.51944,0.45229,0.2846,1.96867,1.58146,0.42213,2.37334,2.3982,0.00104538,0.00104538,0.00104538
115,2190.78,1.13024,1.23135,0.20908,1.79303,1.72505,0.41591,0.41667,0.34824,0.1277,0.46752,0.46383,0.4043,0.23101,1.9566,1.57535,0.45567,2.53898,2.42756,0.00103987,0.00103987,0.00103987
116,2209.72,1.12358,1.19311,0.20612,1.75933,1.71449,0.37289,0.375,0.34346,0.13465,0.42662,0.43333,0.38225,0.2299,1.95564,1.59012,0.3845,2.48083,2.37311,0.00103437,0.00103437,0.00103437
117,2228.63,1.12519,1.1845,0.20269,1.72566,1.73576,0.47333,0.43225,0.40639,0.15488,0.52323,0.4812,0.4627,0.28601,1.94061,1.5797,0.39334,2.41221,2.36753,0.00102887,0.00102887,0.00102887
118,2247.5,1.09453,1.20007,0.19861,1.69888,1.69121,0.5163,0.35556,0.37635,0.1475,0.49244,0.43777,0.44131,0.26547,1.93724,1.51129,0.47317,2.52778,2.41736,0.00102337,0.00102337,0.00102337
119,2266.78,1.13606,1.2164,0.19363,1.71953,1.70886,0.44297,0.39444,0.36817,0.15095,0.52016,0.45304,0.43175,0.26114,1.95217,1.5243,0.62455,2.52021,2.53339,0.00101787,0.00101787,0.00101787
